technology,scenario,2000,2010,2020,2030,2040,2050
Default,optimistic,101,100,100,100,99,99
Default,pessimistic,101,100,100,100,99,99
mWKK,optimistic,185,121,100,100,100,100
mWKK,pessimistic,185,121,100,100,100,100
ZonB,optimistic,111,106,100,93,86,78
ZonB,pessimistic,111,106,100,95,91,86
ZonPV,optimistic,258,108,100,100,100,100
ZonPV,pessimistic,258,108,100,100,100,100
ZonPVcap,optimistic,27,66,100,128,150,167
ZonPVcap,pessimistic,27,66,100,128,150,167
eWPlw,optimistic,117,109,100,88,76,64
eWPlw,pessimistic,117,109,100,93,86,80
eWPww,optimistic,117,109,100,88,76,64
eWPww,pessimistic,117,109,100,93,86,80
hWP,optimistic,117,109,100,88,76,64
hWP,pessimistic,117,109,100,93,86,80
EWV,optimistic,100,100,100,77,70,64
EWV,pessimistic,101,100,100,100,99,99
LTAS,optimistic,100,100,100,88,71,60
LTAS,pessimistic,101,100,100,100,99,99
Isolatie,optimistic,69.5,83.01,96.53,108.11,119.69,131.27
Isolatie,pessimistic,68.51,81.83,95.15,111.32,127.5,144.62
Koken,optimistic,101,100,100,100,99,99
Koken,pessimistic,101,100,100,100,99,99
Ventilatie,optimistic,51.23,73.06,94.88,111.95,129.98,147.06
Ventilatie,pessimistic,49.41,70.45,91.49,119.85,147.3,175.66
MTnet,optimistic,100,100,100,79,69,63
MTnet,pessimistic,101,100,100,100,99,99
Inpand,optimistic,100,100,100,75,66,60
Inpand,pessimistic,101,100,100,100,99,99
Aansl,optimistic,100,100,100,80,70,64
Aansl,pessimistic,101,100,100,100,99,99
Verl,optimistic,100,100,100,72,63,58
Verl,pessimistic,101,100,100,100,99,99
OenM,optimistic,100,100,100,83,73,66
OenM,pessimistic,101,100,100,100,99,99
LTnet,optimistic,100,100,100,55,48,44
LTnet,pessimistic,101,100,100,100,99,99
Warmtenet,optimistic,101,100,100,100,99,99
Warmtenet,pessimistic,101,100,100,100,99,99
Infra,optimistic,100,100,100,100,100,100
Infra,pessimistic,101,100,100,100,99,99
Waterstof,optimistic,100,100,100,70,56,48
Waterstof,pessimistic,101,100,100,100,99,99
Geothermie,optimistic,100,100,100,74,65,55
Geothermie,pessimistic,101,100,100,100,99,99
HR,optimistic,142,121,100,81,65,55
HR,pessimistic,101,100,100,100,99,99
